iter	Logloss
0	0.6604700356
1	0.6308213668
2	0.6025383703
3	0.5770068727
4	0.5528467823
5	0.5310952902
6	0.511190953
7	0.4923382551
8	0.4745638696
9	0.4592538032
10	0.4441506462
11	0.4308562844
12	0.41789187
13	0.4058370534
14	0.3949704378
15	0.3848777438
16	0.375673633
17	0.3670993756
18	0.3583480711
19	0.3516657337
20	0.3448335888
21	0.3383823974
22	0.3321135986
23	0.3264443728
24	0.3211163682
25	0.3158157665
26	0.3116748773
27	0.307626679
28	0.3036908521
29	0.3004126882
30	0.2970563345
31	0.2940378859
32	0.2910238238
33	0.2881487843
34	0.2853165585
35	0.2828304648
36	0.2805347745
37	0.2782671539
38	0.2762593096
39	0.2742235587
40	0.2724866263
41	0.2707221751
42	0.2690474621
43	0.2674892284
44	0.2660324508
45	0.2649375802
46	0.2636052504
47	0.2625573691
48	0.2614670232
49	0.2603986574
50	0.2595177139
51	0.2586215054
52	0.2577423421
53	0.256887983
54	0.2560825228
55	0.2553141398
56	0.2545121166
57	0.2538167137
58	0.25317716
59	0.2525655331
60	0.251964522
61	0.2514125291
62	0.2508922583
63	0.2503419297
64	0.2498079896
65	0.2493560475
66	0.2488887562
67	0.2484983086
68	0.2481447092
69	0.2477428856
70	0.247362213
71	0.2469704887
72	0.246607006
73	0.2463201666
74	0.2459806951
75	0.2456468712
76	0.2453812095
77	0.2451091395
78	0.2448572902
79	0.2446330369
80	0.2443837189
81	0.2441640033
82	0.243898156
83	0.2437089892
84	0.2435347594
85	0.2433026068
86	0.2431004916
87	0.2429373802
88	0.2427688117
89	0.2425794547
90	0.2424241506
91	0.2422653714
92	0.2420879808
93	0.2419548801
94	0.2418525991
95	0.2416716456
96	0.241513037
97	0.2413610844
98	0.2412199448
99	0.2410876313
100	0.2409881504
101	0.2408866044
102	0.240762273
103	0.240625917
104	0.2405175842
105	0.2403812907
106	0.2402523427
107	0.2401638509
108	0.240082376
109	0.2399645427
110	0.2398483067
111	0.2397813925
112	0.2396881935
113	0.2395996619
114	0.2395235593
115	0.2394348652
116	0.2393406296
117	0.239233891
118	0.2391405944
119	0.2390555095
120	0.2389605729
121	0.2389138944
122	0.2388246718
123	0.238755597
124	0.2386784408
125	0.2386036845
126	0.2385242274
127	0.2384426729
128	0.2383506892
129	0.2382847142
130	0.2382208951
131	0.2381426878
132	0.2380800074
133	0.2380364885
134	0.2379728769
135	0.2379049135
136	0.237814996
137	0.2377449954
138	0.2376758133
139	0.2376457913
140	0.2375937469
141	0.237537679
142	0.2374655966
143	0.2374152427
144	0.2373511047
145	0.2373079328
146	0.2372635101
147	0.2372279251
148	0.237180889
149	0.237131721
150	0.2370838639
151	0.2370372216
152	0.2369878997
153	0.2369317676
154	0.2368812364
155	0.2368165708
156	0.2367806868
157	0.2367300038
158	0.23668411
159	0.2366368243
160	0.2365979458
161	0.2365569551
162	0.2365166821
163	0.2364733362
164	0.2364172485
165	0.2363727472
166	0.2363252851
167	0.2362750186
168	0.236209293
169	0.2361619394
170	0.2361239162
171	0.236086191
172	0.2360491833
173	0.236009043
174	0.2359599949
175	0.2359232709
176	0.2358927554
177	0.2358444803
178	0.2358078707
179	0.2357750643
180	0.2357134655
181	0.2356623145
182	0.2356232519
183	0.2355855746
184	0.235555755
185	0.2355346278
186	0.2354925929
187	0.2354513799
188	0.235424022
189	0.2353941471
190	0.2353551641
191	0.2353069502
192	0.2352689783
193	0.2352378843
194	0.2352085693
195	0.2351591638
196	0.2351196344
197	0.2350823665
198	0.2350464274
199	0.2350069118
200	0.2349745565
201	0.2349347069
202	0.2348965087
203	0.2348722368
204	0.2348447397
205	0.2348221715
206	0.2347898794
207	0.2347528078
208	0.2347262089
209	0.234701001
210	0.2346770634
211	0.2346394446
212	0.2346117
213	0.2345839775
214	0.234561318
215	0.2345359672
216	0.2345044819
217	0.2344561373
218	0.2344280946
219	0.2343954166
220	0.234369085
221	0.2343316636
222	0.2343011636
223	0.2342709744
224	0.2342405122
225	0.2342030375
226	0.2341686893
227	0.2341361113
228	0.2341065066
229	0.2340785355
230	0.234051826
231	0.2340217078
232	0.2339860961
233	0.2339518441
234	0.2339173912
235	0.2338960319
236	0.2338654428
237	0.2338317208
238	0.2338133157
